id,send_date,comment
421,2016/11/21 0:27,居然有人不知道Eva的
422,2016/11/21 0:30,真心为你全世界的橙汁啊。。
423,2016/11/21 0:30,建议关闭弹幕食用
424,2016/11/21 0:33,当时看吓得我。。。还有我Q还没看呢
425,2016/11/21 0:35,想起了丽的酥胸。。。
426,2016/11/21 0:37,画质爆炸
427,2016/11/21 0:42,偶来了
428,2016/11/21 0:48,在下暴走泰坦，一首暗地摩擦送给各位打深渊的舰长
429,2016/11/21 0:52,重制版？？？？
430,2016/11/21 1:04,不就是硬币嘛给你给你都给你
431,2016/11/21 1:05,但年全班同学一起看过，大部分人不喜欢，说老是一个画面不动在对话
432,2016/11/21 1:06,看到EVA就滚进来系列。。。
433,2016/11/21 1:07,什么动漫啊
434,2016/11/21 1:13,问二号机女的瞎眼的没看过剧场版啊
435,2016/11/21 1:14,都是结局 只不过tv版真神作
436,2016/11/21 1:15,这里有个画面是攻壳机动队无罪里的
437,2016/11/21 1:16,清
438,2016/11/21 1:16,老剧场版 可以的
439,2016/11/21 1:17,然
440,2016/11/21 1:18,看了好几年eva还是这么好看
441,2016/11/21 1:18,为什么我最爱的两个老婆都是蓝色短发。。雷姆零
442,2016/11/21 1:18,eva 我国内内地放映过的！有个很奇葩的名字，
443,2016/11/21 1:20,香香我的！
444,2016/11/21 1:27,我看不清
445,2016/11/21 1:31,我初号机暴走最tm
446,2016/11/21 1:32,我初号机觉醒真tm帅
447,2016/11/21 1:34,做得不错
448,2016/11/21 1:38,啥啊
449,2016/11/21 1:47,av511692物语60帧
450,2016/11/21 1:55,剧场版？
451,2016/11/21 1:55,有生之年还能看到剧场版
452,2016/11/21 1:57,这是剧场版好吗，画质当然好
453,2016/11/21 2:19,卧槽，高清版啶真？
454,2016/11/21 2:26,1117播放次数我进来了，刚好是我生日
455,2016/11/21 2:48,节奏把握的真是相当好i
456,2016/11/21 2:51,了啦啦啦啦啦啦啦啦
457,2016/11/21 2:56,竟然有EOE，这画质，对得起良心了。
458,2016/11/21 3:01,mama lover
459,2016/11/21 3:06,壮哉我大EVA
460,2016/11/21 3:09,可惜b站看不了啊
461,2016/11/21 3:30,这个是烧钱战士，还有省钱战士呢
462,2016/11/21 3:46,应援
463,2016/11/21 4:01,呜呼！手机卡卡
464,2016/11/21 4:23,我大薰嗣
465,2016/11/21 4:25,不知道EVA就不是二次元的吗 谁定的？
466,2016/11/21 4:39,60帧太幸福
467,2016/11/21 4:54,这画质腻害
468,2016/11/21 4:56,就冲这画质也要给硬币
469,2016/11/21 4:56,画面炸了
470,2016/11/21 5:58,明日香我的
471,2016/11/21 6:10,画质好高啊
472,2016/11/21 7:21,我来组成初号机的弹幕
473,2016/11/21 7:24,卧槽帅炸了！！！
474,2016/11/21 7:37,gaurdians at the
475,2016/11/21 8:11,这动漫是什么
476,2016/11/21 8:11,这动漫是什么
477,2016/11/21 8:23,明日香红
478,2016/11/21 8:40,前方高能！！！！！
479,2016/11/21 9:00,刚刚我看到钢炼了
480,2016/11/21 9:05,这画风什么鬼谁能解释一下这不是不认识的eva
481,2016/11/21 9:08,在哪里能看？？？？这番？？？？？
482,2016/11/21 9:09,在哪里能看这个番？
483,2016/11/21 9:09,在哪里能看这个番？
484,2016/11/21 9:13,"eva,我的童年"
485,2016/11/21 9:15,香香被掐脖子的时候
486,2016/11/21 9:19,什么龟(?o?;？
487,2016/11/21 9:22,厉害了。word哥
488,2016/11/21 9:23,eva是使徒加外骨骼
489,2016/11/21 9:27,见EVA滚 壮大我小初
490,2016/11/21 9:28,要是发现初号机没电了就跑~~~
491,2016/11/21 9:30,谁还记得鞠萍唱的op呢，好怀念当初在电视上看EVA的年代
492,2016/11/21 9:33,我擦 太可怕了..
493,2016/11/21 9:34,这是剧场版剪切  毫不
494,2016/11/21 9:38,很早就有人用这BGM做过EVA了
495,2016/11/21 9:42,yoooooo，慕名而来
496,2016/11/21 9:42,这个屌
497,2016/11/21 9:42,我老婆
498,2016/11/21 9:44,致我的童年
499,2016/11/21 9:50,弄错绫字的都不是真爱，丽是我的
500,2016/11/21 9:51,EVA不能算机甲，电子设备都是辅助，本身可是肉的
501,2016/11/21 9:53,可以，这很EVA
502,2016/11/21 9:58,前面标准的引战弹幕有胆顶端红色啊，这么怕举报？
503,2016/11/21 10:12,爱电音，爱EVA硬币必须的
504,2016/11/21 10:13,。
505,2016/11/21 10:13,这个黄字我服，新剧场版都没看过就出来科普了？你看的600X400画质？
506,2016/11/21 10:20,基佬紫
507,2016/11/21 10:20,这什么动漫？什么动漫？什么动漫？什么动漫求名字。
508,2016/11/21 10:21,这是什么动漫，求告Z
509,2016/11/21 10:22,谢谢告诉名字
510,2016/11/21 10:23,就问问B站啥时候收回版权？
511,2016/11/21 10:28,不就是硬币吗，倒回来投了
512,2016/11/21 10:29,我大EVA。。
513,2016/11/21 10:29,eva画面表现力爆炸
514,2016/11/21 10:33,"EVE,EVA,EVGA,.EV打头都很叼嘛"
515,2016/11/21 10:54,嗯嗯，这个很EVA
516,2016/11/21 10:55,这么多人了。。。
517,2016/11/21 11:07,是真的厉害画面和音乐的配合
518,2016/11/21 11:20,明日香是我的！
519,2016/11/21 11:26,新世纪天鹰战士
520,2016/11/21 11:36,无限循环中
521,2016/11/21 11:59,帅炸
522,2016/11/21 12:04,贼帅！
523,2016/11/21 12:04,我EVA还能再帅上一百年
524,2016/11/21 12:04,不是吧...air不推荐应该是因为没看老tv直接看不容易明白发生了什么吧……
525,2016/11/21 12:05,贼像心脏跳动
526,2016/11/21 12:18,！！！！全程颤抖高能！！！！
527,2016/11/21 12:19,这可不到60fps
528,2016/11/21 12:19,！！！！！全程颤抖高能！！！！！......................
529,2016/11/21 12:30,真希波粉承包玛丽，我爱你爱到死
530,2016/11/21 12:54,这画质TMD怎么搞出来的
531,2016/11/21 13:00,红眼才是真爱！
532,2016/11/21 13:02,tai
533,2016/11/21 13:03,、
534,2016/11/21 13:26,鸡皮疙瘩
535,2016/11/21 13:42,画质炸裂
536,2016/11/21 13:44,eva
537,2016/11/21 14:01,我爱我薰
538,2016/11/21 14:22,超棒卧槽
539,2016/11/21 15:22,画质上天
540,2016/11/21 15:45,起番名的的确有点搞笑的了
541,2016/11/21 17:02,看哭了！
542,2016/11/21 17:03,这才是正版
543,2016/11/21 17:04,233
544,2016/11/21 17:06,画质太赞！
545,2016/11/21 17:07,小时候看的时候哪有这画质0.0
546,2016/11/21 17:08,不愿意看就走喷你妹啊 一个个闲的
547,2016/11/21 17:12,麻蛋我中二之魂要燃烧了！！
548,2016/11/21 17:14,我的画质一定是油墨画
549,2016/11/21 17:20,前方核能
550,2016/11/21 17:26,老爹？？？
551,2016/11/21 17:30,本子王
552,2016/11/21 17:33,不就是想要硬币么！给你就是了！
553,2016/11/21 17:49,小时候第一个拼图就是EVA的
554,2016/11/21 18:16,为了我大EVA刷一波
555,2016/11/21 18:33,1
556,2016/11/21 18:36,这剧经过多个制作人修改本身已经面目全非
557,2016/11/21 18:37,估计连原作者都不知道当初要搞些什么了
558,2016/11/21 18:37,总之，开心就好
559,2016/11/21 18:48,Asuka在破里驾驶三号机 被初号机咬断了插入栓 应该是那时候瞎的
