title,area,price,low_price,high_price,avg,type,storage,halls,good,ok,bad,address,phone_num
武汉帝盛酒店,江汉区,1988-2288,1988,2288,2138,星级酒店,7,1,2,0,0,武汉市江汉区江汉路118号港澳中心(步行街江汉二路口)(近步行街新世界时尚店),027-87823715
纵横大酒店,黄陂区,1580-1780,1580,1780,1680,星级酒店,65,6,0,0,0,武汉市黄陂区黄陂大道177号,
谢先生餐厅（外滩店）,江岸区,1598-2198,1598,2198,1898,品牌餐饮,15,1,2,0,0,武汉市江岸区中山大道1541号（三阳金城C栋）,027-87823715
纽宾凯国际酒店（中南路店）,武昌区,,0,0,0,喜宴酒店,2,,3,0,0,武汉市武昌区武珞路442号,
武汉诺亚酒店,东西湖区,1888,1888,1888,1888,星级酒店,110,5,0,0,0,武汉市东西湖区临空港大道418号,027-87823715
雄楚国际大酒店,武昌区,1688,1688,1688,1688,喜宴酒店,20,3,1,0,0,武汉市武昌区洪山区雄楚大道335号,027-87823715
谢先生餐厅（友谊店）,武昌区,1598-2098,1598,2098,1848,品牌餐饮,25,2,2,0,0,武汉市武昌区友谊大道特6号,027-87823715
谢先生餐厅（光谷店）,武昌区,1598-2098,1598,2098,1848,品牌餐饮,18,3,11,0,0,武汉市武昌区雄楚大道981号,027-87823715
高雄大酒店,江岸区,,0,0,0,星级酒店,,,1,0,0,武汉市江岸区建设大道907号(汉口火车站),
江湾壹號大酒店,硚口区,,0,0,0,星级酒店,,,1,0,0,武汉市硚口区古田三路沿河大道军事经济学院南门,
武汉泛海费尔蒙酒店,江汉区,,0,0,0,星级酒店,,1,0,0,0,武汉市江汉区淮海路289号,400-027
纽宾凯鲁广国际酒店,洪山区,1588-1888,1588,1888,1738,星级酒店,5,3,1,0,0,武汉市洪山区武汉市洪山区民院路38号（光谷步行街地铁C出口省测绘局斜对面）,027-87823715
丽华园(沿港路店),青山区,,0,0,0,品牌餐饮,,,1,0,0,武汉市青山区沿港路23号(近青山区少年宫),
武汉金港湾大酒店,洪山区,,0,0,0,星级酒店,,,1,0,0,武汉市洪山区雄楚大道阳光在线小区东门（近新竹路）,
醉江月(紫阳店),武昌区,,0,0,0,品牌餐饮,,,1,0,0,武汉市武昌区武昌紫阳路204号(近人民医院),
光谷君和格雷斯酒店,洪山区,,0,0,0,星级酒店,,,1,0,0,武汉市洪山区东湖高新技术开发区光谷大道高新六路888号,
光谷皇家格雷斯大酒店,洪山区,,0,0,0,星级酒店,,,1,0,0,武汉市洪山区东湖高新技术开发区大学园路2号（万科城市花园对面）,
循礼门饭店,江汉区,,0,0,0,喜宴酒店,,,1,0,0,武汉市江汉区江汉区解放大道1413号大润发超市旁轻轨地铁循礼门站,
