rank,title,score,num_of_votes,director,release_year,country,theme,summary,movie_url
77,让子弹飞,8.7,630483, 姜文 Wen Jiang,2010,中国大陆 香港,剧情 喜剧 动作 西部,你给我翻译翻译，神马叫做TMD的惊喜。,https://movie.douban.com/subject/3742360/
78,心灵捕手,8.7,274353, 格斯·范·桑特 Gus Van Sant,1997,美国,剧情,人生中应该拥有这样的一段豁然开朗。,https://movie.douban.com/subject/1292656/
79,大闹天宫,8.8,237458, 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang,1997,日本,动作 爱情 战争 动画 奇幻 冒险,人与自然的战争史诗。,https://movie.douban.com/subject/1418019/
81,阳光灿烂的日子,8.7,273418, 姜文 Wen Jiang,1994,中国大陆 香港,剧情,一场华丽的意淫。,https://movie.douban.com/subject/1291875/
82,第六感,8.8,237624, M·奈特·沙马兰 M. Night Shyamalan,1999,美国,剧情 悬疑 惊悚,深入内心的恐怖，出人意料的结局。,https://movie.douban.com/subject/1297630/
83,重庆森林,8.7,333950, 王家卫 Kar Wai Wong,1994,香港,剧情 爱情,寂寞没有期限。,https://movie.douban.com/subject/1291999/
84,大鱼,8.7,255107, 蒂姆·波顿 Tim Burton,2003,美国,剧情 家庭 奇幻 冒险,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,https://movie.douban.com/subject/1291545/
85,射雕英雄传之东成西就,8.7,278748, 刘镇伟 Jeffrey Lau,1993,香港,喜剧 古装,百看不厌。 ,https://movie.douban.com/subject/1316510/
86,禁闭岛,8.6,363168, Martin Scorsese,2010,美国,剧情 悬疑 惊悚,昔日翩翩少年，今日大腹便便。,https://movie.douban.com/subject/2334904/
87,甜蜜蜜,8.8,234783, 陈可辛 Peter Chan,1996,香港,剧情 爱情,相逢只要一瞬间，等待却像是一辈子。,https://movie.douban.com/subject/1305164/
88,阳光姐妹淘,8.8,270799, 姜炯哲 Hyeong-Cheol Kang,2011,韩国,剧情 喜剧,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,https://movie.douban.com/subject/4917726/
89,一一,8.9,157571, 杨德昌 Edward Yang,2000,台湾 日本,剧情 爱情 家庭,我们都曾经是一一。,https://movie.douban.com/subject/1292434/
90,狩猎,9.0,129642, 托马斯·温特伯格 Thomas Vinterberg,2012,丹麦 瑞典,剧情,人言可畏。,https://movie.douban.com/subject/6985810/
91,致命ID,8.6,321423, James Mangold,2003,美国,剧情 悬疑 惊悚,最不可能的那个人永远是最可能的。,https://movie.douban.com/subject/1297192/
92,上帝之城,8.9,159532, Kátia Lund / Fernando Meirelles,2002,巴西 法国,犯罪 剧情,被上帝抛弃了的上帝之城。,https://movie.douban.com/subject/1292208/
93,末代皇帝,8.9,167359, 贝纳尔多·贝托鲁奇 Bernardo Bertolucci,1987,意大利 中国大陆 英国 法国,剧情 传记 历史,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,https://movie.douban.com/subject/1293172/
94,告白,8.7,345475, 中岛哲也 Tetsuya Nakashima,2010,日本,剧情 惊悚,没有一人完全善，也没有一人完全恶。,https://movie.douban.com/subject/4268598/
95,看不见的客人,8.7,278606, 奥里奥尔·保罗 Oriol Paulo,2016,西班牙,犯罪 悬疑 惊悚,你以为你以为的就是你以为的。,https://movie.douban.com/subject/26580232/
96,布达佩斯大饭店,8.7,311709, 韦斯·安德森 Wes Anderson,2014,美国 德国 英国,剧情 喜剧,小清新的故事里注入了大历史的情怀。,https://movie.douban.com/subject/11525673/
